mok,hwa,to,gm,su,E,I,S,N,T,F,J,P,job,,
1,3,1,0,1,2,4,2,4,2,4,4,2,미용,,
1,3,1,0,1,2,4,2,4,2,4,4,2,사무보조,,50
0,2,3,0,1,2,4,2,4,2,4,4,2,회계,,
0,3,2,0,1,2,4,2,4,2,4,4,2,레스토랑,,
0,3,1,1,1,2,4,2,4,2,4,4,2,사무보조,,
0,2,3,1,0,2,4,2,4,2,4,4,2,생산,,
0,2,2,1,1,2,4,2,4,2,4,4,2,사무보조,,
0,2,2,1,1,2,4,2,4,2,4,4,2,사무보조,,
1,2,3,0,0,2,4,2,4,2,4,4,2,생산,,
1,2,2,0,1,2,4,2,4,2,4,4,2,회계,,
0,3,2,0,1,2,4,2,4,2,4,4,2,미용,,
0,3,3,0,0,2,4,2,4,2,4,4,2,미용,,
1,2,3,0,0,2,4,2,4,2,4,4,2,주방,,
1,2,3,0,0,2,4,2,4,2,4,4,2,생산,,
0,2,3,1,0,2,4,2,4,2,4,4,2,주방,,
0,3,2,1,0,2,4,2,4,2,4,4,2,미용,,
0,3,2,0,1,2,4,2,4,2,4,4,2,레스토랑,,
0,2,3,0,1,2,4,2,4,2,4,4,2,회계,,
1,2,2,1,0,2,4,2,4,2,4,4,2,주방,,
1,2,2,1,0,2,4,2,4,2,4,4,2,사무보조,,
0,3,3,0,0,2,4,2,4,2,4,4,2,레스토랑,,
0,3,2,0,1,2,4,2,4,2,4,4,2,사무보조,,
0,2,3,0,1,2,4,2,4,2,4,4,2,주방,,
0,2,4,0,0,2,4,2,4,2,4,4,2,생산,,
1,2,2,1,0,2,4,2,4,2,4,4,2,주방,,
1,2,2,1,0,2,4,2,4,2,4,4,2,사무보조,,
0,2,3,0,1,2,4,2,4,2,4,4,2,회계,,
0,3,2,0,1,2,4,2,4,2,4,4,2,레스토랑,,
1,3,2,0,0,2,4,2,4,2,4,4,2,사무보조,,
1,2,3,0,0,2,4,2,4,2,4,4,2,주방,,
0,3,2,1,0,2,4,2,4,2,4,4,2,미용,,
0,2,4,0,0,2,4,2,4,2,4,4,2,주방,,
0,2,3,0,1,2,4,2,4,2,4,4,2,회계,,
0,2,2,1,1,2,4,2,4,2,4,4,2,미용,,
1,1,2,2,0,2,4,2,4,2,4,4,2,스포츠,,
2,1,1,1,1,2,4,2,4,2,4,4,2,의류,,
2,1,1,1,1,2,4,2,4,2,4,4,2,바리스타,,
2,1,2,1,0,2,4,2,4,2,4,4,2,주방,,
2,2,1,1,0,2,4,2,4,2,4,4,2,사무보조,,
1,3,1,1,0,2,4,2,4,2,4,4,2,사무보조,,
1,2,2,1,0,2,4,2,4,2,4,4,2,미용,,
1,1,2,2,0,2,4,2,4,2,4,4,2,생산,,
1,1,2,2,0,2,4,2,4,2,4,4,2,스포츠,,
1,1,2,2,0,2,4,2,4,2,4,4,2,주방,,
1,1,1,2,1,2,4,2,4,2,4,4,2,유아,,
1,1,1,1,2,2,4,2,4,2,4,4,2,배달,,
1,1,2,1,1,2,4,2,4,2,4,4,2,주방,,
3,1,1,1,0,2,4,2,4,2,4,4,2,매장,,
3,1,1,1,0,2,4,2,4,2,4,4,2,매장,,
1,2,2,1,0,2,4,2,4,2,4,4,2,생산,,
1,3,1,1,0,2,4,2,4,2,4,4,2,미용,,
